source_id,source_family,tool_or_site,source_type,title,url,authority_tier,term_hit,practice_signal,first_round_status,first_round_reason,second_round_status,manual_notes
S012,official_docs,Anthropic Claude Code,docs,Claude Code settings,https://docs.anthropic.com/en/docs/claude-code/settings,S1,CLAUDE.md,LOADING_SEMANTICS;GOOD_SECURITY;GOOD_SCOPE,PASS,Documents settings and memory locations relevant to loading and enforcement boundaries,,
S013,official_blog,Anthropic Claude Code,engineering_blog,Claude Code best practices,https://www.anthropic.com/engineering/claude-code-best-practices,S2,CLAUDE.md,GOOD_COMMANDS;GOOD_STRUCTURE;GOOD_CONCISION;BAD_BLOAT,PASS,Engineering blog with practical CLAUDE.md guidance and bloat concerns,,
S014,official_blog,Anthropic Claude Code,engineering_blog,Effective context engineering for AI agents,https://www.anthropic.com/engineering/effective-context-engineering-for-ai-agents,S2,CLAUDE.md,GOOD_CONCISION;BAD_BLOAT,MAYBE,Useful for context effects; needs manual check for direct CLAUDE.md practice claims,,
S015,official_docs,Anthropic Claude Code,docs,Claude Code hooks guide,https://docs.anthropic.com/en/docs/claude-code/hooks-guide,S1,CLAUDE.md,GOOD_SECURITY,MAYBE,Relevant to enforcement versus passive instruction text; direct CLAUDE.md practice evidence should be checked manually,,
S016,official_docs,Anthropic Claude Code,docs,Claude Code subagents,https://docs.anthropic.com/en/docs/claude-code/sub-agents,S1,CLAUDE.md,LOADING_SEMANTICS;GOOD_SCOPE,MAYBE,Relevant to memory inheritance and scoped behavior; direct file-practice evidence should be checked manually,,
S017,official_docs,Amp,manual,Amp owner manual,https://ampcode.com/manual,S1,AGENTS.md,LOADING_SEMANTICS;GOOD_SCOPE;GOOD_STRUCTURE,PASS,Official Amp manual describes AGENTS.md and related agent context surfaces,,
S018,official_blog,Amp,product_blog,From AGENT.md to AGENTS.md,https://ampcode.com/news/AGENTS.md,S2,AGENTS.md,PORTABILITY;GOOD_SCOPE,PASS,Explains standardization and compatibility motivation for AGENTS.md,,
S019,official_blog,Amp,product_blog,Globs in AGENTS.md,https://ampcode.com/news/globs-in-AGENTS.md,S2,AGENTS.md,GOOD_SCOPE;LOADING_SEMANTICS,PASS,Concrete practice for splitting or loading additional context through globs,,
S020,official_blog,Amp,product_blog,Multiple AGENT.md files,https://ampcode.com/news/multiple-AGENT.md-files,S2,AGENT.md,GOOD_SCOPE;GOOD_PRECEDENCE,MAYBE,Older singular-file practice; useful only if mapped to AGENTS.md evolution,,
S021,official_note,Amp,engineering_note,Putting an Agent in an Orb,https://ampcode.com/notes/putting-an-agent-in-an-orb,S2,AGENTS.md,GOOD_COMMANDS;GOOD_SECURITY;GOOD_STRUCTURE,PASS,Product-team practice note with concrete project instruction examples,,
S022,official_docs,Google Jules,docs,Jules documentation,https://jules.google/docs/,S1,AGENTS.md,LOADING_SEMANTICS;GOOD_STRUCTURE,PASS,Official Jules docs say Jules reads AGENTS.md and uses it for project context,,
S023,official_changelog,Google Jules,changelog,Jules Agent Update,https://jules.google/docs/changelog/2025-06-20/,S2,AGENTS.md,LOADING_SEMANTICS,MAYBE,Changelog confirms AGENTS.md reading but limited detailed practice guidance,,
S024,official_changelog,Google Jules,changelog,Jules out of beta,https://jules.google/docs/changelog/2025-08-06/,S2,AGENTS.md,BAD_IGNORED;GOOD_SCOPE,MAYBE,Changelog evidence about improved following of agents.md instructions; needs manual review,,
S025,official_docs,Google Jules,docs,Jules environment setup,https://jules.google/docs/environment/,S1,agents.md,GOOD_COMMANDS;GOOD_STRUCTURE,PASS,Official environment setup guidance references agents.md and setup scripts,,
S026,official_repo,Google Gemini CLI,docs,Gemini CLI context file docs,https://github.com/google-gemini/gemini-cli/blob/main/docs/cli/gemini-md.md,S1,AGENTS.md,LOADING_SEMANTICS;GOOD_SCOPE,PASS,Official repo docs show context file behavior and configurable file name including AGENTS.md,,
S027,official_docs,Google AI Studio,docs,AI Studio agents docs,https://ai.google.dev/gemini-api/docs/aistudio-agents,S1,AGENTS.md,LOADING_SEMANTICS;GOOD_STRUCTURE,PASS,Official docs use .agents/AGENTS.md as agent context,,
S028,official_docs,Google Cloud,docs,Mainframe Assessment Tool modernize and validate,https://docs.cloud.google.com/mainframe-assessment-tool/docs/modernize-validate,S1,AGENTS.md,GOOD_STRUCTURE;GOOD_SCOPE,MAYBE,Google Cloud product documentation uses AGENTS.md for tool context; needs manual claim extraction,,
S029,official_docs,GitHub Copilot,docs,Best practices for using Copilot coding agent,https://docs.github.com/copilot/how-tos/agents/copilot-coding-agent/best-practices-for-using-copilot-to-work-on-tasks,S1,AGENTS.md;CLAUDE.md,GOOD_COMMANDS;GOOD_STRUCTURE;GOOD_SCOPE;GOOD_SECURITY,PASS,Primary GitHub source for supported instruction files and task guidance,,
S030,official_docs,GitHub Copilot,docs,Add repository custom instructions,https://docs.github.com/copilot/how-tos/configure-custom-instructions/add-repository-instructions,S1,AGENTS.md,GOOD_STRUCTURE;GOOD_SCOPE,MAYBE,Official custom-instruction page; direct AGENTS.md mention and practice detail should be manually checked,,
S031,official_changelog,GitHub Copilot,changelog,Copilot coding agent now supports AGENTS.md,https://github.blog/changelog/2025-08-28-copilot-coding-agent-now-supports-agents-md-custom-instructions/,S2,AGENTS.md,LOADING_SEMANTICS;GOOD_SCOPE,PASS,Official changelog for root and nested AGENTS.md support,,
S032,official_blog,GitHub Copilot,blog,How to write a great agents.md,https://github.blog/ai-and-ml/github-copilot/how-to-write-a-great-agents-md-lessons-from-over-2500-repositories/,S2,AGENTS.md,GOOD_COMMANDS;GOOD_STRUCTURE;GOOD_CONCISION;BAD_BLOAT,PASS,Official GitHub blog based on many repositories; useful as practice evidence,,
S033,official_changelog,GitHub Copilot,changelog,Copilot code review AGENTS.md support,https://github.blog/changelog/2026-06-18-copilot-code-review-agents-md-support-and-ui-improvements/,S2,AGENTS.md,LOADING_SEMANTICS,MAYBE,Confirms AGENTS.md support for code review; limited practice detail,,
S034,official_docs,VS Code,docs,Copilot customization,https://code.visualstudio.com/docs/copilot/copilot-customization,S1,AGENTS.md,GOOD_SCOPE;GOOD_STRUCTURE,PENDING,Relevant VS Code official page; needs manual confirmation of direct AGENTS.md passages,,
S035,official_docs,Factory,docs,Factory AGENTS.md configuration,https://docs.factory.ai/cli/configuration/agents-md,S1,AGENTS.md,LOADING_SEMANTICS;GOOD_COMMANDS;GOOD_STRUCTURE,PASS,Official Factory AGENTS.md docs with briefing-packet framing,,
S036,official_blog,Factory,news,Factory joins AGENTS.md collaboration,https://factory.ai/news/agents-md,S2,AGENTS.md,PORTABILITY,MAYBE,Ecosystem adoption source; limited defect or practice detail,,
S037,official_blog,Factory,blog,Using linters to direct agents,https://factory.ai/news/using-linters-to-direct-agents,S2,AGENTS.md,GOOD_SECURITY;GOOD_STRUCTURE,PASS,Useful for separating natural-language instruction from executable enforcement,,
S038,official_docs,Factory,docs,Power User setup checklist,https://docs.factory.ai/guides/power-user/setup-checklist,S1,AGENTS.md,GOOD_COMMANDS;GOOD_STRUCTURE,PASS,Checklist uses AGENTS.md for build and test readiness,,
S039,official_docs,RooCode,docs,Custom instructions,https://docs.roocode.com/features/custom-instructions,S1,AGENTS.md,GOOD_SCOPE;LOADING_SEMANTICS,PASS,Official Roo Code custom-instruction source; manual pass should extract exact AGENTS.md behavior,,
S040,official_changelog,RooCode,changelog,Roo Code v3.24.0,https://docs.roocode.com/update-notes/v3.24.0,S2,AGENTS.md,LOADING_SEMANTICS,PASS,Release note for AGENTS.md support,,
S041,official_changelog,RooCode,changelog,Roo Code v3.38,https://docs.roocode.com/update-notes/v3.38,S2,AGENTS.md,LOADING_SEMANTICS;GOOD_SCOPE,MAYBE,Potential recursive or loading behavior evidence; needs manual review,,
S042,official_docs,Kilo Code,docs,Kilo Code AGENTS.md,https://kilo.ai/docs/customize/agents-md,S1,AGENTS.md,LOADING_SEMANTICS;GOOD_SCOPE;GOOD_COMMANDS;GOOD_STRUCTURE,PASS,Primary Kilo Code AGENTS.md docs,,
S043,official_docs,Kilo Code,docs,Kilo memory bank,https://kilocode.ai/docs/advanced-usage/memory-bank,S1,AGENTS.md,GOOD_STRUCTURE;GOOD_SCOPE,MAYBE,Related memory system; direct AGENTS.md practice detail should be checked,,
S044,official_blog,Kilo Code,blog,AGENTS.md may trick us into writing better docs,https://blog.kilo.ai/p/agentsmd-may-trick-us-into-writing,S2,AGENTS.md,GOOD_STRUCTURE;BAD_STALE,MAYBE,Practice-oriented product-team blog; needs manual acceptance decision,,
S045,official_docs,opencode,docs,Rules,https://opencode.ai/docs/rules/,S1,AGENTS.md,LOADING_SEMANTICS;GOOD_SCOPE;GOOD_STRUCTURE,PASS,Official opencode rules docs mention AGENTS.md as instruction source,,
S046,official_docs,Augment Code,docs,Rules,https://docs.augmentcode.com/cli/rules,S1,AGENTS.md;CLAUDE.md,LOADING_SEMANTICS;GOOD_SCOPE;GOOD_STRUCTURE,PASS,Official Augment rules docs reference AGENTS.md and CLAUDE.md context files,,
S047,official_docs,Augment Code,docs,Setup guidelines,https://docs.augmentcode.com/setup-augment/guidelines,S1,AGENTS.md,GOOD_STRUCTURE;GOOD_SCOPE,MAYBE,Guidelines likely relevant; manual check needed for direct AGENTS.md details,,
S048,official_blog,Augment Code,blog,A good AGENTS.md is a model upgrade,https://www.augmentcode.com/blog/how-to-write-good-agents-dot-md-files,S2,AGENTS.md,GOOD_COMMANDS;GOOD_SCOPE;GOOD_CONCISION;BAD_BLOAT,PASS,Strong practice blog specifically about AGENTS.md quality,,
S049,official_blog,Augment Code,blog,Your agent's context is a junk drawer,https://www.augmentcode.com/blog/your-agents-context-is-a-junk-drawer,S2,AGENTS.md,BAD_BLOAT;BAD_STALE;GOOD_STRUCTURE,PASS,Practice blog about context quality and AGENTS.md-style context debt,,
S050,official_docs,Zed,docs,Agent instructions,https://zed.dev/docs/ai/instructions.html,S1,AGENTS.md,LOADING_SEMANTICS;GOOD_SCOPE;GOOD_STRUCTURE,PASS,Official Zed instructions page; useful for instruction discovery and rules,,
S051,official_docs,Warp,docs,Rules for agents,https://docs.warp.dev/agent-platform/capabilities/rules/,S1,AGENTS.md;CLAUDE.md,GOOD_SCOPE;GOOD_STRUCTURE;LOADING_SEMANTICS,PASS,Official Warp rules page mentions multiple instruction-file formats,,
S052,official_docs,Windsurf,docs,Windsurf AGENTS.md,https://docs.windsurf.com/windsurf/cascade/agents-md,S1,AGENTS.md,LOADING_SEMANTICS;GOOD_SCOPE;GOOD_STRUCTURE,PASS,Official Windsurf AGENTS.md docs,,
S053,official_docs,Devin,docs,Devin Desktop AGENTS.md,https://docs.devin.ai/desktop/cascade/agents-md,S1,AGENTS.md,LOADING_SEMANTICS;GOOD_SCOPE;GOOD_STRUCTURE,PASS,Official Devin/Cascade AGENTS.md docs,,
S054,official_docs,Junie,docs,Guidelines and memory,https://junie.jetbrains.com/docs/guidelines-and-memory.html,S1,AGENTS.md,LOADING_SEMANTICS;GOOD_SCOPE;GOOD_STRUCTURE,PASS,Official Junie docs for guidelines and memory including AGENTS.md,,
S055,official_blog,JetBrains,blog,JetBrains joins AAIF,https://blog.jetbrains.com/blog/2025/12/09/jetbrains-joins-the-agentic-artificial-intelligence-foundation/,S2,AGENTS.md,PORTABILITY,MAYBE,Ecosystem adoption source; not enough alone for defect semantics,,
S056,official_docs,Ona,docs,Ona AGENTS.md,https://ona.com/docs/ona/agents-md,S1,AGENTS.md,GOOD_COMMANDS;GOOD_SCOPE;GOOD_STRUCTURE,PASS,Official Ona AGENTS.md docs,,
S057,official_template,Ona,template,Add optimized AGENTS.md,https://ona.com/templates/add-optimized-agents-md,S2,AGENTS.md,GOOD_STRUCTURE;GOOD_COMMANDS,MAYBE,Template-style practice source; manual review needed,,
S058,official_forum,Cursor,forum,Do I still need rule files in addition to AGENTS.md,https://forum.cursor.com/t/do-i-still-need-rule-files-in-additional-agents-md-file/155815,S2,AGENTS.md,LOADING_SEMANTICS;GOOD_SCOPE,MAYBE,Official forum/support-style evidence; use only if stronger docs are missing,,
S059,official_docs,Cursor,docs,Cursor rules,https://docs.cursor.com/context/rules,S1,AGENTS.md,GOOD_SCOPE;GOOD_STRUCTURE,PENDING,Official docs page likely relevant but direct AGENTS.md passages need manual verification,,
S060,official_docs,Aider,docs,Coding conventions,https://aider.chat/docs/usage/conventions.html,S1,AGENTS.md,GOOD_STRUCTURE,PENDING,Aider can read conventions files; direct AGENTS.md evidence is indirect and needs manual confirmation,,
S061,official_docs,Aider,docs,YAML configuration,https://aider.chat/docs/config/aider_conf.html,S1,AGENTS.md,LOADING_SEMANTICS,PENDING,Potential config evidence for reading AGENTS.md through read-file settings; needs manual confirmation,,
S062,official_docs,goose,docs,goose documentation,https://block.github.io/goose/,S1,AGENTS.md,LOADING_SEMANTICS,PENDING,AGENTS.md supporter but direct official AGENTS.md page not confirmed in this pass,,
S063,official_release,Phoenix,release,Phoenix 1.8 released,https://www.phoenixframework.org/blog/phoenix-1-8-released,S2,AGENTS.md,PORTABILITY,MAYBE,Adoption/release evidence; weak for concrete practice unless page has specific instructions,,
S064,official_docs,Semgrep,docs,Semgrep Guardian,https://docs.semgrep.dev/guardian,S1,AGENTS.md,GOOD_SECURITY;BAD_HIJACK,FAIL_BACKGROUND_ONLY,Relevant to agent-written code security but no confirmed direct AGENTS.md or CLAUDE.md discussion,,
S065,official_blog,Semgrep,blog,Security skills for AI agents,https://semgrep.dev/blog/2026/security-skills-ai-agents,S2,AGENTS.md,GOOD_SECURITY,FAIL_BACKGROUND_ONLY,Relevant to agent security and skills but no confirmed direct instruction-file evidence,,
S066,official_docs,Meta,docs,AI-assisted development AGENTS.md,https://wearables.developer.meta.com/docs/develop/dat/ai-assisted-agents-md/,S1,AGENTS.md,GOOD_STRUCTURE;GOOD_SCOPE,PENDING,Official Meta page appears relevant but direct access may require login,,
S067,official_repo,Meta,repo,Meta Wearables developer tools repository,https://github.com/facebookresearch/meta-wearables-developer-tools,S1,AGENTS.md,GOOD_STRUCTURE,MAYBE,Official Meta repository may contain AGENTS.md examples; needs file-level manual verification,,
S068,official_docs,Hugging Face,docs,Spaces agents.md,https://huggingface.co/docs/hub/spaces-agents-md,S1,agents.md,GOOD_STRUCTURE;GOOD_COMMANDS,PASS,Official Hugging Face docs for agents.md in Spaces; related but not identical to AGENTS.md standard,,
S069,official_changelog,Hugging Face,changelog,Spaces agents.md support,https://huggingface.co/changelog/spaces-agents-md,S2,agents.md,GOOD_STRUCTURE,MAYBE,Confirms support but limited practice detail,,
S070,official_blog,Hugging Face,blog,Hugging Face Spaces and agents.md,https://huggingface.co/blog/spaces-agents-md,S2,agents.md,GOOD_STRUCTURE;GOOD_SCOPE,MAYBE,Blog-style practice source; needs manual review,,
S071,security_org,OWASP,docs,LLM and GenAI security resources,https://owasp.org/www-project-top-10-for-large-language-model-applications/,S1,NONE,GOOD_SECURITY;BAD_HIJACK,FAIL_BACKGROUND_ONLY,Authoritative background for agent/security risk but no direct AGENTS.md or CLAUDE.md evidence,,
S072,security_org,OWASP,docs,Agentic AI threat and mitigations resources,https://genai.owasp.org/,S1,NONE,GOOD_SECURITY;BAD_HIJACK,FAIL_BACKGROUND_ONLY,Authoritative security background only unless direct AGENTS.md passages are later found,,
S073,security_company,Prompt Security,blog,AGENTS.md hidden instructions and risks,https://www.prompt.security/blog,S2,AGENTS.md,BAD_HIJACK;GOOD_SECURITY,PENDING,Potential security-company source; exact article URL and direct content need confirmation,,
S074,community,Hacker News,discussion,AGENTS.md discussion threads,https://news.ycombinator.com/,S3,AGENTS.md,BAD_STALE;BAD_CONFLICT;BAD_IGNORED;BAD_BLOAT,PENDING,Community evidence source; specific item URLs need manual collection from search results,,
S075,community,Hacker News,discussion,CLAUDE.md and Claude Code discussion threads,https://news.ycombinator.com/,S3,CLAUDE.md,BAD_STALE;BAD_BLOAT;BAD_IGNORED,PENDING,Community evidence source; specific item URLs need manual collection from search results,,
S076,official_docs,UiPath,docs,UiPath CLI with Coding Agents,https://docs.uipath.com/uipath-cli/standalone/latest/user-guide/coding-agents,S1,AGENTS.md,GOOD_COMMANDS;GOOD_STRUCTURE,PENDING,Official UiPath source potentially relevant to coding agents; direct AGENTS.md evidence needs verification,,
S077,official_site,UiPath,product_page,Coding agents,https://www.uipath.com/developers/coding-agents,S2,AGENTS.md,PORTABILITY,PENDING,Product page; direct practice evidence likely weak and should be manually checked,,
